module_0	denovo2051	denovo214	172962	532450	531904	denovo4216	585826	274970
module_1	844958	849938	850870	denovo5237	772282	denovo3422	846484	denovo4213
module_2	4300526	4307094	denovo1758	710432	denovo2065	179806
module_3	534280	548775	527730	841946	562244
module_4	540579	846333	denovo3948	denovo4115	denovo4240
module_5	681419	322258	788963	235212	592857
module_6	denovo1464	657757	523483	denovo6042
module_7	1105000	1003596	842710	1093751
module_8	842896	575041	4336943	denovo3465
module_9	589640	839887	847431	845834
module_10	2055681	771558	denovo2600	445972
module_11	591635	628481	367215	593444
module_12	522231	658348	4311647	317892
module_13	denovo1575	denovo1162	denovo7509	denovo1579
module_14	528596	198167	342947
module_15	denovo5105	denovo5702	denovo502
module_16	denovo3958	1034162	denovo215
module_17	denovo911	4331760	849273
module_18	1110312	denovo6518	denovo4856
module_19	denovo5703	denovo2548	denovo7287
module_20	denovo3666	denovo7021	denovo6242
module_21	842258	denovo286	denovo1776
module_22	330294	4307934	355333
module_23	1099830	denovo4025	denovo23
module_24	840128	581690	840832
module_25	712677	848801	300617
module_26	624618	210303	830129
module_27	denovo7182	298050	336981
module_28	denovo4830	denovo3140	denovo355
module_29	197539	559063	331417
module_30	denovo4965	denovo2461	193895
module_31	denovo4833	323200	290815
module_32	denovo2597	746961	denovo5992
module_33	1105014	917860	875559
module_34	denovo7511	denovo733	denovo969
module_35	656865	166794	denovo2778
module_36	denovo2078	844941	594044
module_37	denovo7505	denovo2895	1045110
module_38	1107057	826624
module_39	4425877	687245
module_40	denovo1448	470369
module_41	296562	578207
module_42	denovo16	denovo7286
module_43	362271	592242
module_44	denovo7519	1053854
module_45	1111191	denovo5410
module_46	593352	189808
module_47	113865	denovo4593
module_48	denovo3829	denovo2609
module_49	1020931	993647
module_50	4465118	denovo637
module_51	4338990	295056
module_52	denovo7457	531164
module_53	649588	587028
module_54	197517	denovo1289
module_55	365631	836693
module_56	4432683	302891
module_57	denovo4968	denovo3555
module_58	762699	denovo4090
module_59	591439	584951
module_60	denovo4189	denovo4771
module_61	528570	4427960
module_62	1110135	593786
module_63	848088	denovo6682
module_64	denovo914	denovo6502
module_65	denovo2435	1061273
module_66	842171	denovo7199
module_67	367320	360058
module_68	362793	185659
module_69	denovo7443	529877
module_70	567090	367866
module_71	denovo5006	denovo5283
module_72	530980	531950
module_73	338381	denovo7034
module_74	denovo5617	288780
module_75	denovo6329	527776
module_76	324244	682160
module_77	532470	denovo6429
module_78	denovo7347	denovo4323
module_79	denovo75	denovo7049
module_80	844006	579099
module_81	590945	1110863
module_82	583093	231752
module_83	368448	325850
module_84	denovo6430	denovo7115
module_85	562503	4334844
module_86	555555	528228
module_87	1069640	1078257
module_88	denovo5481	denovo1319
module_89	358610	851797
module_90	1104818	840863
module_91	845038	1076587
module_92	denovo3268	4307122
module_93	denovo3998	denovo1954
module_94	343831	69942
module_95	849362	denovo1983
module_96	denovo7202	292057
module_97	528774	denovo1447
module_98	183479	291206
module_99	916143	denovo3799
module_100	186020	1099678
module_101	184067	696259
module_102	denovo7181	denovo885
module_103	denovo3529	denovo1179
module_104	denovo268	148925
module_105	589076	850905
module_106	denovo2053	denovo909
module_107	1054176	1040423
module_108	denovo3830	1104433
module_109	193661	841691
module_110	denovo4353	denovo2488
module_111	851865	846409
module_112	688800	843231
module_113	denovo2014	denovo6330
module_114	844037	denovo1131
module_115	851386	denovo3498
module_116	846798	denovo110
module_117	324055	261878
module_118	546557	denovo4431
module_119	249776	588572
module_120	841108	860850
module_121	denovo2912	denovo7430
module_122	851271	848340
module_123	denovo7520	988375
module_124	denovo4487	denovo3132
module_125	593708	708680
module_126	846814	531806
module_127	356079	denovo836
module_128	207624	denovo4491
module_129	denovo1034	25947
module_130	577228	950716
module_131	denovo7251	denovo3102
module_132	828676	1097761
module_133	581554	370046
module_134	571406	4299677
module_135	522830	4359258
module_136	570356	530211
module_137	denovo2879	755833
module_138	216599	696563
module_139	denovo6440	574792
